,Player,Rank,LoremIpsum,LoremIpsum2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
☑️,Baby Maker,Immo 3,Grease,Boomhauer,7,,,,,,,,,,,
☑️,Gator,Immo,Pig,Sweet Tea,,,TEAM 1,Baby Maker,Juicy,Pixie,Twig,Freak,25,,,
☑️,Snoopy,Immo 1,Mouse,Rocketfuel,,,TEAM 2,Gator,Giggles,Rocketfuel,Hammer,Redbull,25,LoremIpsum1,LoremIpsum2,LoremIpsum3
☑️,Buzz,Immo 1,Superman,Frankfurter,,,TEAM 3,Snoopy,Piggy,4-Wheel,Smoochie,Bambi,25,,,
☑️,Cookie,Immo 1,Sweet Tea,Junior,,,TEAM 4,Buzz,Dunce,Superman,Ash,DJ,25,,,
☑️,Fatty,Immo 1,Chef,Tyke,,,TEAM 5,Cookie,Sweet 'n Sour,Buckeye,Bubba,Bubble Butt,25,,,
☑️,Grease,Immo 1,Marshmallow,Righty,,,TEAM 6,Fatty,Angel,Big Bird,Mini Skirt,Birdy,26,,,
☑️,Scarlet,immo 1,Dulce,Skinny Jeans,,,TEAM 7,Grease,Kid,Pig,Dropout,Fly,25,,,
☑️,Piggy,Asc 3,Cookie Dough,Bruiser,6,,TEAM 8,Scarlet,Herp Derp,Lover,Shnookie,Papito,25,,,
☑️,Angel,Asc 3,Backbone,Pintsize,,,,,,,,,,,,
☑️,Lover,Asc,Golden Graham,Smudge,,,,Valori di riferimento,,,,,,,,
☑️,Sweet 'n Sour,Asc 2,Hot Pepper,Sport,,,,IMMORTAL,7,,,,,,,
☑️,Kid,Asc 1,Ash,Dino,,,,ASCENDANT,6,,,,,,,
☑️,Herp Derp,Asc 1,Fox,Cindy Lou Who,,,,DIAMOND,5,,,,,,,
☑️,Giggles,Asc 1,Braveheart,Cat,,,,PLATINO,4,,,,,,,
☑️,Juicy,Asc 1,Pookie,Smiley,,,,GOLD,3,,,,,,,
☑️,Dunce,Asc 1,Numbers,Lion,,,,SILVER,2,,,,,,,
☑️,Dropout,Dia 3,Buddy,Azkaban,5,,,,,,,,,,,
☑️,Bubba,Dia 3,Colonel,Mouse,,,,,,,,,,,,
☑️,Pig,Dia 2/3,Highbeam,Apple Jack,,,,,,,,,,,,
☑️,Buckeye,Dia 3,Scarlet,Herp Derp,,,,,,,,,,,,
☑️,Superman,Dia 3,Bellbottoms,Loser,,,,,,,,,,,,
☑️,Ash,Plat\Dia,Twinkie,Sherlock,,,,,,,,,,,,
☑️,4-Wheel,Dia 2,Lovely,Shuttershy,,,,,,,,,,,,
☑️,Rocketfuel,Dia 2 ?,Rapunzel,Bebe,,,,,,,,,,,,
☑️,Pixie,Dia 1 ?,Blimpie,Loosetooth,,,,,,,,,,,,
☑️,Mini Skirt,Dia 1,Frankfurter,Rosebud,,,,,,,,,,,,
☑️,Big Bird,Dia 1,Guapo,Swiss Miss,,,,,,,,,,,,
☑️,Smoochie,Plat,Robin,Chiquita,,,,,,,,,,,,
☑️,Shnookie,Plat 3,Shrinkwrap,Admiral,4,,,,,,,,,,,
☑️,Hammer,Plat,Einstein,Pansy,,,,,,,,,,,,
☑️,Twig,Plat,Mini Me,Scarlet,,LoremIpsum1,Rank,LoremIpsum1,,,,,,,,
☑️,Redbull,Gold 2,Sassy,Cherry,3,LoremIpsum2,gold 2,LoremIpsum2,,,,,,,,
☑️,Bambi,Gold 2,Chili,Sassy,,LoremIpsum3,gold,,,,,,,,,
☑️,Freak,Gold 1,Cloud,Butterbuns,,LoremIpsum4,silver 1,,,,,,,,,
☑️,Birdy,Gold 3,Baby Boo,Snoopy,,,,,,,,,,,,
☑️,Papito,Silver 3,Frodo,Cotton,2,LoremIpsum5,Plat,LoremIpsum3,,,,,,,,
☑️,DJ,Silver,Bossy,Doll,,LoremIpsum6,Diam,LoremIpsum4,,,,,,,,
☑️,Bubble Butt,Silver 2,Ladybug,Wilma,,LoremIpsum7,immo 1,LoremIpsum5,,,,,,,,
☑️,Fly,Silver 1,?,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,LoremIpsum,,,,,,,,,,,,,,,
,LoremIpsum,,,,,,,,,,,,,,,
